SMILES;CNN_VS;Vina pKi;Target protein
C=CCC(C(N)=O)N1CC(CCC)CC1=O;5.146554;5.121015469;Acetylcholinesterase
COCCC1(C(=O)N2CCC(CO)C2)CCC1;5.66076;5.085061203;Acetylcholinesterase
CCNc1nc(C#N)nc(N2CCCCC2)n1;5.3383736;5.534137036;Acetylcholinesterase
Cc1cccc(C(=O)OC2CCOC2=O)c1O;4.5890936;5.833050935;Acetylcholinesterase
CCC(CC)N(C)C(=O)CNC(=O)C1CC1;4.943978;4.992003103;Acetylcholinesterase
Nc1nc(O)nc(O)c1N=Cc1ccccc1;4.049584;5.818246237;Acetylcholinesterase
OCC1CC(F)C(n2cnc3cncnc32)O1;3.7947163;5.100570886;Acetylcholinesterase
C=CCN(CC=C)S(=O)(=O)c1nc[nH]n1;4.642968;4.761472808;Acetylcholinesterase
CCC1(NC(C)=O)CC2CC1CC2NC(C)=O;3.956114;5.981802899;Acetylcholinesterase
C=CC[C@@H]1[C@@H]2c3[nH]nc(C4=NN=NN4)c3C[C@H]12;2.7342095;6.074156014;Acetylcholinesterase
NC(=O)[C@@H]1CCCN1C(=O)c1ccccn1;5.4072492;5.52708718;Acetylcholinesterase
CN(C(=O)C1CCCC1)C1CC[NH+](C)CC1;4.4299332;#NUM!;Acetylcholinesterase
OCc1c(CO)c(C(F)(F)F)n2c1CCC2;3.8741796;4.982133304;Acetylcholinesterase
C[C@]12C(=O)N(CCO)C(=O)[C@@]1(C)[C@@H]1CC[C@H]2O1;4.4092952;5.459408562;Acetylcholinesterase
Cc1ccc(/C=N/Nc2cnnc(O)n2)o1;3.9972993;5.444603864;Acetylcholinesterase
O=C(NC(C1CC1)C1CC1)c1cccc[n+]1[O-];5.5096834;5.654689576;Acetylcholinesterase
Cc1cn(CC2(CO)CCC2)c(=O)[nH]c1=O;4.60023;5.493952857;Acetylcholinesterase
COC1=CC(=O)c2oc(CO)c(C)c2C1=O;3.3641244;5.369875389;Acetylcholinesterase
Cc1cc(C(=O)NC2=CC(=O)CCC2)no1;4.59581;5.678659086;Acetylcholinesterase
COC(=O)[C@@H]1CSC(c2ncccc2O)=N1;4.3723124;4.738208283;Acetylcholinesterase
CCN1CC(C(=O)NC(C)(C)CC)CC1=O;4.5803698;5.379745188;Acetylcholinesterase
CC(=O)Oc1cccc(c2nc(C(N)=O)c(N)o2)c1;5.121949;6.020577107;Acetylcholinesterase
O=C1NCCc2nc(OCc3ccccn3)ccc21;5.885516;6.344870488;Acetylcholinesterase
Cc1cccc(OCC(=O)N[C@H]2CCOC2=O)c1;3.4273764;5.893679697;Acetylcholinesterase
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCCOc3ccc(C(=O)/C=C/c4ccccc4)cc3)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4;4.6612748;8.25538149;Acetylcholinesterase
CC(C)([NH3+])C(=O)N[C@H](Cc1c[nH]c2ccccc12)c1nnc(CCc2c[nH]c3ccccc23)n1c1ccccc1;7.7007812;#NUM!;Acetylcholinesterase
CCc1cc(c2nnn(CCC3COCCO3)c2CC)ccc1c1cn(Cc2ccc3ccccc3c2)nn1;7.5826888;8.692472568;Acetylcholinesterase
CN(C)c1cc[n+](Cc2ccc(c3ccc(C[n+]4ccc(N(C)c5ccc(Cl)cc5)cc4)cc3)cc2)cc1;5.1997737;8.318830195;Acetylcholinesterase
C#CCN(Cc1nc2cc(C(F)(F)F)ccc2nc1c1ccccc1)c1cc(OC)c(OC)c(OC)c1;3.3719056;5.823181136;Acetylcholinesterase
COCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(Br)cc2)c1;5.800152;8.551475446;Acetylcholinesterase
CCCOC(=O)/C1=C/[C@H]2[C@@H](C[C@H](OC(=O)/C=C/c3cn(C)cn3)[C@]3(C)C=C[C@@]1(OC)O3)C(C)=CC[C@@H]2C(C)C;5.5554164;5.297261872;Acetylcholinesterase
